Bin.,No.,Description,Packing Size,UOM
12-LQ1,ZZNMR10KG,NEW MOON FRAGRANT RICE,10KG /BAG,BAG
12-LQ2,ZZCPORR400GM,CAPTAIN INSTANT OATMEAL - RED,20 X 400GM,PKT
12-LQ2,ZZFSH1KG,YOKEE FRIED ONION,10 x 1KG,PKT
12-LR1,AMSPGSA10,ANGELA MIA SPAGHETTI SAUCE,6 X A10,TIN
12-LR1,ZZCQORR800GM,CAPTAIN QUICK COOK OATMEAL - BLUE,12 X 800GM,PKT
12-LR2,ZZLKGFLSS500ML,LKK GLUTEN FREE LIGHT SOYA SAUCE,6 X 500ML,BTL
12-LR2,ZZLKLS500ML,LKK LIGHT SOY SAUCE,12 X 500ML,BTL
13-LA1,TMPICSU25KG,MP ICING SUGAR,25KG / BAG,BAG
13-LA1,ZZRS25KG,REFINED SUGAR,25KG / BAG,BAG
13-LA2,ZZROCY400GM,"LUMP SMALL SUGAR ""rock sugar"" - YELLOW CRYSTAL",50 x 400GM,PKT
13-LA2,ZZROS500GM,"LUMP SMALL SUGAR rock sugar"" - WHITE CRYSTAL""",50 X 400GM,PKT
13-LA2,ZZRSA1KG,ROCK SUGAR,1KG / PKT,PKT
13-LA2,ZZSS400GM,"SLAB SUGAR ""NAN ZI BRAND""",50 x 400GM,PKT
13-LC1,ZZROS3KG,"MP LUMP SMALL SUGAR ""rock sugar"" - WHITE CRYSTAL(10-15MM)",6 X 3KG,PKT
13-LC1,ZZRSA3KG,ROCK SUGAR - WHITE (30-50 MM),6 X 3KG,PKT
13-LC2,ZZDBS500GM,"DARK BROWN SUGAR ""BLACK""",40 x 500GM,PKT
13-LC2,ZZIS500GM,YOWE ICING SUGAR - LC,40 X 500GM,PKT
13-LD1,ZZRSC3KG,ROCK SUGAR CRUSHED,6 X 3 KG,PKT
13-LD1,ZZSISRS3KG,YOWE REFINED SUGAR,10 x 2.5KG,PKT
13-LD2,ZZBRSSS4GM,SIS RAW SUGAR STICK,24 X 100S X 3.5GM,PKT
13-LD2,ZZSS6GM,SIS WHITE SUGAR SACHET -100'S - LC,24 X 100'S X 5GM,PKT
13-LD2,ZZWSS6GM,SIS WHITE SUGAR STICK,24 x 100's x 4gm,PKT
13-LD2,ZZSISCS1KG,YOWE CASTER SUGAR,25 x 1KG,PKT
13-LE1,ZZSISRFS1KG,YOWE REFINED SUGAR,25 x 1KG,PKT
13-LE1,ZZSISRS2KG,YOWE REFINED SUGAR,12 X 2 KG,PKT
13-LE2,ZZSISLS750GM,SIS LITE SUGAR,24 X 750GM,PKT
13-LE2,ZZSISRAWS1KG,SIS RAW SUGAR,24 X 800GM,PKT
13-LE2,ZZSISRSC454GM,SIS RAW SUGAR CUBE,24 X 454GM,BOX
13-LE2,ZZSISWSC454GM,SIS WHITE SUGAR CUBE,24X 454GM,BOX
13-LF1,ZZSISBS800GM,SIS BROWN SUGAR Fine Textured,24 X 800GM,PKT
13-LF1,ZZBRSS6GM,SIS RAW SUGAR SACHET,24 X 100'S X 5GM,PKT
13-LF1,ZZVBS1KG,VHP BROWN SUGAR - SUPERIOR,25 x 1KG,PKT
13-LF2,ZZEQS80GM,EQUAL SPOONFUL,12 X 80GM,BTL
13-LF2,ZZSB500GM,SODIUM BICARBONATE - BAKING SODA,40 x 500GM,PKT
13-LG1,ZZKKSSFG1600ML,KIKKOMAN SOY SAUCE - FANCY GRADE KSE11842-01,6 X 1.6LTR,BTL
13-LG1,ZZKKSOYS1LTR,KIKKOMAN SOY SAUCE - STANDARD KSE11980-01,12 X 1.0LTR,BTL
