,S/N,DATE,OrderNumber,SKU,PCS,ReferenceID,Location,Alley_Number,Cellule,Coord,AlleyCell,Size
7644,4454,12/16/2018,3813680,419604,1,419604,A0219101,A02,19,"[48.75, 21.0]",A0219,"(60, 120)"
7645,4455,12/16/2018,3813680,465577,1,465577,A1004103,A10,4,"[20.75, 9.0]",A1004,"(100, 320)"
7646,4456,12/16/2018,3813678,263956,1,263956,A0206501,A02,6,"[47.5, 10.5]",A0206,"(380, 360)"
7647,4457,12/16/2018,3813678,285652,1,285652,A0314404,A03,14,"[44.25, 16.5]",A0314,"(80, 280)"
7648,4458,12/16/2018,3813678,309462,5,309462,A1107203,A11,7,"[19.5, 12.0]",A1107,"(240, 20)"
7649,4459,12/16/2018,3813678,399573,1,399573,A1119504,A11,19,"[19.5, 21.0]",A1119,"(330, 120)"
7650,4460,12/16/2018,3813678,442946,1,442946,A0309308,A03,9,"[45.5, 13.5]",A0309,"(150, 340)"
7651,4461,12/16/2018,3813678,465577,1,465577,A1004103,A10,4,"[20.75, 9.0]",A1004,"(100, 320)"
7652,4462,12/16/2018,3813677,321570,1,321570,A0703402,A07,3,"[32.5, 9.0]",A0703,"(340, 80)"
7653,4463,12/16/2018,3813434,401669,1,401669,A0414104,A04,14,"[41.0, 16.5]",A0414,"(220, 120)"
7654,4464,12/16/2018,3813432,332259,1,332259,A0101202,A01,1,"[52.0, 6.0]",A0101,"(330, 60)"
7655,4465,12/16/2018,3813432,465577,1,465577,A1004103,A10,4,"[20.75, 9.0]",A1004,"(100, 320)"
7656,4466,12/16/2018,3813425,399573,1,399573,A1119504,A11,19,"[19.5, 21.0]",A1119,"(330, 120)"
7657,4467,12/16/2018,3813424,399573,1,399573,A1119504,A11,19,"[19.5, 21.0]",A1119,"(330, 120)"
7658,4468,12/16/2018,3813424,452873,1,452873,A0520304,A05,20,"[37.75, 21.0]",A0520,"(110, 280)"
7659,4469,12/16/2018,3813422,421584,1,421584,A0319105,A03,19,"[45.5, 21.0]",A0319,"(430, 220)"
7660,4470,12/16/2018,3813404,399573,1,399573,A1119504,A11,19,"[19.5, 21.0]",A1119,"(330, 120)"
7661,4471,12/16/2018,3813404,445009,1,445009,A0621402,A06,21,"[35.75, 22.5]",A0621,"(270, 340)"
7662,4472,12/16/2018,3813399,399573,1,399573,A1119504,A11,19,"[19.5, 21.0]",A1119,"(330, 120)"
7663,4473,12/16/2018,3812923,399573,1,399573,A1119504,A11,19,"[19.5, 21.0]",A1119,"(330, 120)"
7664,4474,12/16/2018,3812923,445637,1,445637,A0718303,A07,18,"[31.25, 19.5]",A0718,"(150, 320)"
7665,4475,12/16/2018,3812798,344984,1,344984,A0204406,A02,4,"[47.5, 9.0]",A0204,"(420, 240)"
7666,4476,12/16/2018,3814792,436454,1,436454,A0216106,A02,16,"[47.5, 18.0]",A0216,"(130, 200)"
7667,4477,12/16/2018,3814815,424782,1,424782,A1015504,A10,15,"[22.75, 18.0]",A1015,"(270, 320)"
7668,4478,12/16/2018,3814682,446856,1,446856,A0902401,A09,2,"[24, 6.0]",A0902,"(230, 340)"
7669,4479,12/16/2018,3814313,419219,1,419219,A0506401,A05,6,"[37.75, 10.5]",A0506,"(390, 340)"
7670,4480,12/16/2018,3814313,422581,1,422581,A0307404,A03,7,"[45.5, 12.0]",A0307,"(440, 220)"
7671,4481,12/16/2018,3814313,458569,1,458569,A0714304,A07,14,"[31.25, 16.5]",A0714,"(380, 220)"
7672,4482,12/16/2018,3814304,265489,1,265489,A0312503,A03,12,"[44.25, 15.0]",A0312,"(140, 40)"
7673,4483,12/16/2018,3814304,445897,1,445897,A0515403,A05,15,"[39.0, 18.0]",A0515,"(180, 160)"
7674,4484,12/16/2018,3814228,423129,1,423129,A1012104,A10,12,"[20.75, 15.0]",A1012,"(270, 60)"
7675,4485,12/16/2018,3814212,399573,1,399573,A1119504,A11,19,"[19.5, 21.0]",A1119,"(330, 120)"
7676,4486,12/16/2018,3814212,422119,1,422119,A0602202,A06,2,"[34.5, 6.0]",A0602,"(240, 100)"
7677,4487,12/16/2018,3814194,440530,1,440530,A1002101,A10,2,"[20.75, 6.0]",A1002,"(360, 360)"
7678,4488,12/16/2018,3814194,442223,1,442223,A1004201,A10,4,"[20.75, 9.0]",A1004,"(130, 280)"
7679,4489,12/16/2018,3814194,452650,1,452650,A0901304,A09,1,"[26, 6.0]",A0901,"(120, 140)"
7680,4490,12/16/2018,3814183,332917,1,332917,A0503404,A05,3,"[39.0, 9.0]",A0503,"(370, 100)"
7681,4491,12/16/2018,3814176,399573,1,399573,A1119504,A11,19,"[19.5, 21.0]",A1119,"(330, 120)"
7682,4492,12/16/2018,3814169,453963,1,453963,A1120101,A11,20,"[15.25, 21.0]",A1120,"(370, 280)"
7683,4493,12/16/2018,3814169,453965,1,453965,A1019401,A10,19,"[22.75, 21.0]",A1019,"(80, 60)"
7684,4494,12/16/2018,3814110,399573,1,399573,A1119504,A11,19,"[19.5, 21.0]",A1119,"(330, 120)"
7685,4495,12/16/2018,3814110,425828,1,425828,A0309303,A03,9,"[45.5, 13.5]",A0309,"(270, 20)"
7686,4496,12/16/2018,3814077,281108,1,281108,A0602104,A06,2,"[34.5, 6.0]",A0602,"(320, 320)"
7687,4497,12/16/2018,3814077,432239,1,432239,A0322108,A03,22,"[44.25, 22.5]",A0322,"(430, 180)"
7688,4498,12/16/2018,3814072,349867,1,349867,A0719104,A07,19,"[32.5, 21.0]",A0719,"(100, 300)"
7689,4499,12/16/2018,3814062,388049,1,388049,A0913103,A09,13,"[26, 16.5]",A0913,"(80, 280)"
7690,4500,12/16/2018,3814063,374648,1,374648,A0317501,A03,17,"[45.5, 19.5]",A0317,"(190, 320)"
7691,4501,12/16/2018,3814054,389086,1,389086,A0311406,A03,11,"[45.5, 15.0]",A0311,"(70, 340)"
7692,4502,12/16/2018,3814054,446403,1,446403,A0216308,A02,16,"[47.5, 18.0]",A0216,"(280, 220)"
7693,4503,12/16/2018,3814054,465577,1,465577,A1004103,A10,4,"[20.75, 9.0]",A1004,"(100, 320)"
7694,4504,12/16/2018,3814028,403382,2,403382,A0202202,A02,2,"[47.5, 6.0]",A0202,"(260, 100)"
7695,4505,12/16/2018,3814028,465577,1,465577,A1004103,A10,4,"[20.75, 9.0]",A1004,"(100, 320)"
7696,4506,12/16/2018,3814020,330863,2,330863,A1002502,A10,2,"[20.75, 6.0]",A1002,"(80, 280)"
7697,4507,12/16/2018,3814020,339781,2,339781,A0918102,A09,18,"[24, 19.5]",A0918,"(300, 260)"
7698,4508,12/16/2018,3814020,404062,1,404062,A0320401,A03,20,"[44.25, 21.0]",A0320,"(150, 180)"
7699,4509,12/16/2018,3814005,442023,1,442023,A0702503,A07,2,"[31.25, 6.0]",A0702,"(240, 140)"
7700,4510,12/16/2018,3814000,399573,1,399573,A1119504,A11,19,"[19.5, 21.0]",A1119,"(330, 120)"
7701,4511,12/16/2018,3814001,399573,1,399573,A1119504,A11,19,"[19.5, 21.0]",A1119,"(330, 120)"
7702,4512,12/16/2018,3813998,263417,1,263417,A0204503,A02,4,"[47.5, 9.0]",A0204,"(360, 60)"
7703,4513,12/16/2018,3813992,442023,1,442023,A0702503,A07,2,"[31.25, 6.0]",A0702,"(240, 140)"
7704,4514,12/16/2018,3813989,397500,1,397500,A0913404,A09,13,"[26, 16.5]",A0913,"(60, 160)"
7705,4515,12/16/2018,3813989,399573,1,399573,A1119504,A11,19,"[19.5, 21.0]",A1119,"(330, 120)"
7706,4516,12/16/2018,3813983,263415,1,263415,A0204404,A02,4,"[47.5, 9.0]",A0204,"(240, 220)"
7707,4517,12/16/2018,3813984,358957,1,358957,A0911501,A09,11,"[26, 15.0]",A0911,"(410, 120)"
7708,4518,12/16/2018,3813984,358959,1,358959,A0907504,A09,7,"[26, 12.0]",A0907,"(180, 180)"
7709,4519,12/16/2018,3813984,358961,1,358961,A0908101,A09,8,"[24, 12.0]",A0908,"(250, 300)"
7710,4520,12/16/2018,3813984,399573,1,399573,A1119504,A11,19,"[19.5, 21.0]",A1119,"(330, 120)"
7711,4521,12/16/2018,3813984,402695,1,402695,A0314408,A03,14,"[44.25, 16.5]",A0314,"(330, 20)"
7712,4522,12/16/2018,3813982,358957,1,358957,A0911501,A09,11,"[26, 15.0]",A0911,"(410, 120)"
7713,4523,12/16/2018,3813982,459353,1,459353,A1016502,A10,16,"[20.75, 18.0]",A1016,"(400, 280)"
7714,4524,12/16/2018,3813981,399573,1,399573,A1119504,A11,19,"[19.5, 21.0]",A1119,"(330, 120)"
7715,4525,12/16/2018,3813981,460778,1,460778,A0716103,A07,16,"[31.25, 18.0]",A0716,"(280, 120)"
7716,4526,12/16/2018,3813981,465577,1,465577,A1004103,A10,4,"[20.75, 9.0]",A1004,"(100, 320)"
7717,4527,12/16/2018,3813980,399573,1,399573,A1119504,A11,19,"[19.5, 21.0]",A1119,"(330, 120)"
7718,4528,12/16/2018,3813978,135079,1,135079,A0614404,A06,14,"[34.5, 16.5]",A0614,"(130, 260)"
7719,4529,12/16/2018,3813978,399573,1,399573,A1119504,A11,19,"[19.5, 21.0]",A1119,"(330, 120)"
7720,4530,12/16/2018,3813978,464707,1,464707,A0321403,A03,21,"[45.5, 22.5]",A0321,"(290, 320)"
7721,4531,12/16/2018,3813975,102179,1,102179,A0305303,A03,5,"[45.5, 10.5]",A0305,"(140, 240)"
7722,4532,12/16/2018,3813975,399573,1,399573,A1119504,A11,19,"[19.5, 21.0]",A1119,"(330, 120)"
7723,4533,12/16/2018,3813960,290329,3,290329,A1003101,A10,3,"[22.75, 9.0]",A1003,"(300, 160)"
7724,4534,12/16/2018,3813890,458569,1,458569,A0714304,A07,14,"[31.25, 16.5]",A0714,"(380, 220)"
7725,4535,12/16/2018,3813840,319764,1,319764,A0913403,A09,13,"[26, 16.5]",A0913,"(140, 160)"
7726,4536,12/16/2018,3813840,319773,1,319773,A0804101,A08,4,"[28.0, 9.0]",A0804,"(400, 120)"
7727,4537,12/16/2018,3813840,450078,1,450078,A0904104,A09,4,"[24, 9.0]",A0904,"(140, 180)"
7728,4538,12/16/2018,3813840,461527,1,461527,A0313306,A03,13,"[45.5, 16.5]",A0313,"(70, 260)"
7729,4539,12/16/2018,3813810,453963,1,453963,A1120101,A11,20,"[15.25, 21.0]",A1120,"(370, 280)"
7730,4540,12/16/2018,3813810,453965,1,453965,A1019401,A10,19,"[22.75, 21.0]",A1019,"(80, 60)"
7731,4541,12/16/2018,3813573,440469,1,440469,A1007401,A10,7,"[22.75, 12.0]",A1007,"(400, 220)"
7732,4542,12/16/2018,3813573,440471,1,440471,A1008101,A10,8,"[20.75, 12.0]",A1008,"(140, 360)"
7733,4543,12/16/2018,3813573,440473,1,440473,A1008203,A10,8,"[20.75, 12.0]",A1008,"(90, 340)"
7734,4544,12/16/2018,3813573,440474,1,440474,A1008301,A10,8,"[20.75, 12.0]",A1008,"(330, 200)"
