,S/N,DATE,OrderNumber,SKU,PCS,ReferenceID,Location,Alley_Number,Cellule,Coord,AlleyCell,Size
4774,4771,12/12/2018,3793236,442023,1,442023,A0702503,A07,2,"[31.25, 6.0]",A0702,"(240, 140)"
4775,4771,12/12/2018,3793236,398156,1,398156,A0308304,A03,8,"[44.25, 12.0]",A0308,"(160, 220)"
4776,4777,12/12/2018,3793236,403629,2,403629,A0603301,A06,3,"[35.75, 9.0]",A0603,"(180, 220)"
4777,4777,12/12/2018,3793236,287389,1,287389,A0608104,A06,8,"[34.5, 12.0]",A0608,"(390, 280)"
4778,4770,12/12/2018,3793236,349675,1,349675,A1101304,A11,1,"[19.5, 6.0]",A1101,"(290, 340)"
4779,4780,12/12/2018,3793236,253482,1,253482,A0721403,A07,21,"[32.5, 22.5]",A0721,"(130, 160)"
4780,4780,12/12/2018,3793236,294951,2,294951,A0917201,A09,17,"[26, 19.5]",A0917,"(270, 240)"
4781,1741,12/12/2018,3793236,458561,1,458561,A1001203,A10,1,"[22.75, 6.0]",A1001,"(100, 380)"
4782,1742,12/12/2018,3793216,445070,1,445070,A0921501,A09,21,"[26, 22.5]",A0921,"(200, 260)"
4783,4784,12/12/2018,3793216,387162,1,387162,A0704502,A07,4,"[31.25, 9.0]",A0704,"(130, 360)"
4784,4784,12/12/2018,3793216,388051,1,388051,A0901201,A09,1,"[26, 6.0]",A0901,"(190, 60)"
4785,4786,12/12/2018,3793216,406291,2,406291,A1014103,A10,14,"[20.75, 16.5]",A1014,"(240, 260)"
4786,4786,12/12/2018,3793216,221756,2,221756,A0101402,A01,1,"[52.0, 6.0]",A0101,"(350, 80)"
4787,4784,12/12/2018,3793216,219195,2,219195,A0607103,A06,7,"[35.75, 12.0]",A0607,"(170, 220)"
4788,4789,12/12/2018,3793216,267290,1,267290,A0809303,A08,9,"[29.25, 13.5]",A0809,"(360, 20)"
4789,4789,12/12/2018,3793216,360956,2,360956,A0202101,A02,2,"[47.5, 6.0]",A0202,"(110, 200)"
4790,4791,12/12/2018,3793216,253473,2,253473,A0722502,A07,22,"[31.25, 22.5]",A0722,"(290, 40)"
4791,4791,12/12/2018,3793216,278926,1,278926,A0219302,A02,19,"[48.75, 21.0]",A0219,"(120, 380)"
4792,4791,12/12/2018,3793216,179874,1,179874,A0321404,A03,21,"[45.5, 22.5]",A0321,"(150, 200)"
4793,4789,12/12/2018,3793216,295842,1,295842,A0206505,A02,6,"[47.5, 10.5]",A0206,"(70, 240)"
4794,1743,12/12/2018,3793216,446856,1,446856,A0902401,A09,2,"[24, 6.0]",A0902,"(230, 340)"
4795,1744,12/12/2018,3793201,419208,1,419208,A0503301,A05,3,"[39.0, 9.0]",A0503,"(300, 20)"
4796,1745,12/12/2018,3793158,348799,1,348799,A1009503,A10,9,"[22.75, 13.5]",A1009,"(200, 20)"
4797,1746,12/12/2018,3793154,348815,1,348815,A0904101,A09,4,"[24, 9.0]",A0904,"(200, 160)"
4798,1747,12/12/2018,3793147,263738,1,263738,A0412503,A04,12,"[41.0, 15.0]",A0412,"(360, 120)"
4799,1748,12/12/2018,3793145,419201,1,419201,A0503201,A05,3,"[39.0, 9.0]",A0503,"(350, 60)"
4800,1749,12/12/2018,3793144,370817,1,370817,A0910502,A09,10,"[24, 13.5]",A0910,"(290, 380)"
4801,4802,12/12/2018,3793144,358962,1,358962,A0908104,A09,8,"[24, 12.0]",A0908,"(280, 260)"
4802,4802,12/12/2018,3793144,422581,2,422581,A0307404,A03,7,"[45.5, 12.0]",A0307,"(440, 220)"
4803,1750,12/12/2018,3793144,370818,1,370818,A0911303,A09,11,"[26, 15.0]",A0911,"(340, 60)"
4804,4805,12/12/2018,3793134,152047,1,152047,A0520504,A05,20,"[37.75, 21.0]",A0520,"(390, 20)"
4805,4806,12/12/2018,3793134,425969,1,425969,A0304507,A03,4,"[44.25, 9.0]",A0304,"(410, 260)"
4806,4806,12/12/2018,3793134,353043,1,353043,A0912203,A09,12,"[24, 15.0]",A0912,"(150, 40)"
4807,4806,12/12/2018,3793134,427755,2,427755,A0202206,A02,2,"[47.5, 6.0]",A0202,"(240, 220)"
4808,4809,12/12/2018,3793134,402545,2,402545,A1106301,A11,6,"[15.25, 10.5]",A1106,"(160, 40)"
4809,4809,12/12/2018,3793134,402550,2,402550,A0612504,A06,12,"[34.5, 15.0]",A0612,"(420, 40)"
4810,4805,12/12/2018,3793134,335349,2,335349,A1002203,A10,2,"[20.75, 6.0]",A1002,"(100, 380)"
4811,1751,12/12/2018,3793134,321894,2,321894,A0809403,A08,9,"[29.25, 13.5]",A0809,"(340, 40)"
4812,1752,12/12/2018,3793117,202889,1,202889,A0914502,A09,14,"[24, 16.5]",A0914,"(420, 60)"
4813,1753,12/12/2018,3793105,453963,1,453963,A1120101,A11,20,"[15.25, 21.0]",A1120,"(370, 280)"
4814,4815,12/12/2018,3793105,358844,1,358844,A0614504,A06,14,"[34.5, 16.5]",A0614,"(140, 180)"
4815,4816,12/12/2018,3793105,363821,2,363821,A1108502,A11,8,"[15.25, 12.0]",A1108,"(250, 180)"
4816,4816,12/12/2018,3793105,409931,1,409931,A0406104,A04,6,"[41.0, 10.5]",A0406,"(350, 40)"
